mass,stone,price per gram
13.87,quartz,0.012
3.05,quartz,0.012
4.66,quartz,0.012
7.13,quartz,0.012
5.28,quartz,0.012
4.56,quartz,0.012
4.21,quartz,0.012
4.81,quartz,0.012
4,quartz,0.012
6.85,quartz,0.012
4.48,quartz,0.012
5.15,quartz,0.012
6.24,quartz,0.012
6.68,quartz,0.012
5.38,quartz,0.012
6.6,quartz,0.012
3.85,quartz,0.012
4.78,quartz,0.012
8.72,quartz,0.012
2.25,quartz,0.012
6.57,quartz,0.012
3.85,quartz,0.012
6.72,quartz,0.012
5.08,quartz,0.012
6.6,quartz,0.012
4.82,quartz,0.012
3.24,quartz,0.012
3.14,quartz,0.012
7.41,quartz,0.012
1.7,quartz,0.012
5.08,quartz,0.012
4.5,quartz,0.012
3.17,quartz,0.012
3.83,quartz,0.012
3.67,quartz,0.012
7.92,quartz,0.012
4.85,quartz,0.012
3.08,quartz,0.012
4.23,quartz,0.012
3.3,quartz,0.012
4.04,quartz,0.012
4.61,quartz,0.012
4.51,quartz,0.012
2.87,quartz,0.012
3.44,quartz,0.012
2.3,quartz,0.012
5.39,quartz,0.012
4.87,quartz,0.012
2.84,quartz,0.012
3.04,quartz,0.012
3.52,quartz,0.012
3.49,quartz,0.012
6.33,quartz,0.012
3.22,quartz,0.012
4.15,quartz,0.012
2.28,quartz,0.012
3.28,quartz,0.012
5.24,quartz,0.012
2.46,quartz,0.012
2.42,quartz,0.012
2.75,quartz,0.012
4.07,quartz,0.012
2.22,quartz,0.012
3.83,quartz,0.012
2.14,quartz,0.012
2.96,quartz,0.012
4.73,quartz,0.012
3.6,quartz,0.012
5.26,quartz,0.012
3.11,quartz,0.012
2.45,quartz,0.012
2.35,quartz,0.012
1.94,quartz,0.012
1.8,quartz,0.012
3.6,quartz,0.012
2.04,quartz,0.012
5.2,quartz,0.012
2.72,quartz,0.012
3.73,quartz,0.012
3.21,quartz,0.012
4.17,quartz,0.012
3,quartz,0.012
1.93,quartz,0.012
3.16,quartz,0.012
3.53,quartz,0.012
3,quartz,0.012
0.71,quartz,0.012
2.68,quartz,0.012
4.46,quartz,0.012
1.6,quartz,0.012
2.5,quartz,0.012
2.33,amethyst,0.033
3.93,amethyst,0.033
3.08,amethyst,0.033
2.28,amethyst,0.033
4.69,amethyst,0.033
5,amethyst,0.033
3.91,amethyst,0.033
2.03,amethyst,0.033
2,amethyst,0.033
3.03,amethyst,0.033
3.27,amethyst,0.033
2.19,amethyst,0.033
1.96,amethyst,0.033
3.46,amethyst,0.033
2.25,amethyst,0.033
4.33,amethyst,0.033
2.46,amethyst,0.033
3.1,amethyst,0.033
2.55,amethyst,0.033
2.89,amethyst,0.033
1.82,amethyst,0.033
2.2,amethyst,0.033
2.1,amethyst,0.033
1.22,amethyst,0.033
2.61,amethyst,0.033
2.4,amethyst,0.033
2.9,amethyst,0.033
2.19,amethyst,0.033
1.85,amethyst,0.033
2.91,amethyst,0.033
1.45,amethyst,0.033
1.95,amethyst,0.033
2.75,amethyst,0.033
3.06,amethyst,0.033
3.44,amethyst,0.033
2,amethyst,0.033
4.73,amethyst,0.033
3.7,amethyst,0.033
2.69,amethyst,0.033
3.25,amethyst,0.033
1.45,amethyst,0.033
1.79,amethyst,0.033
2.92,amethyst,0.033
1.27,amethyst,0.033
2.43,amethyst,0.033
3.31,amethyst,0.033
4.32,amethyst,0.033
1.81,amethyst,0.033
2.09,amethyst,0.033
3.44,amethyst,0.033
1.73,amethyst,0.033
2.22,amethyst,0.033
1.15,amethyst,0.033
2.12,amethyst,0.033
1.78,amethyst,0.033
3.74,amethyst,0.033
1.4,amethyst,0.033
1.74,amethyst,0.033
2.59,amethyst,0.033
1.5,amethyst,0.033
1.85,amethyst,0.033
2.32,amethyst,0.033
1.9,amethyst,0.033
2.48,amethyst,0.033
1.75,amethyst,0.033
1.67,amethyst,0.033
3.23,amethyst,0.033
2.61,amethyst,0.033
4.07,amethyst,0.033
3.3,amethyst,0.033
3.23,amethyst,0.033
1.96,amethyst,0.033
1.91,amethyst,0.033
2.73,amethyst,0.033
1.67,amethyst,0.033
2.66,amethyst,0.033
1.47,amethyst,0.033
1.77,amethyst,0.033
3.43,amethyst,0.033
1.92,amethyst,0.033
2.05,amethyst,0.033
2.56,amethyst,0.033
4,amethyst,0.033
2.04,amethyst,0.033
3.83,amethyst,0.033
1.44,amethyst,0.033
2.77,amethyst,0.033
1,amethyst,0.033
1.77,amethyst,0.033
1.8,amethyst,0.033
2.05,amethyst,0.033
1.06,amethyst,0.033
2.56,amethyst,0.033
1.89,amethyst,0.033
0.86,amethyst,0.033
2.39,amethyst,0.033
1.43,amethyst,0.033
1.87,amethyst,0.033
1.64,amethyst,0.033
1.92,amethyst,0.033
3.29,amethyst,0.033
1.59,amethyst,0.033
1.85,amethyst,0.033
2.38,amethyst,0.033
1.74,amethyst,0.033
3.76,amethyst,0.033
1.97,amethyst,0.033
1.78,amethyst,0.033
1.75,amethyst,0.033
2.22,amethyst,0.033
1.27,amethyst,0.033
2.31,amethyst,0.033
2.07,amethyst,0.033
2.48,amethyst,0.033
1.26,amethyst,0.033
2.74,amethyst,0.033
1.17,amethyst,0.033
3.11,amethyst,0.033
0.96,amethyst,0.033
3.28,amethyst,0.033
2.58,amethyst,0.033
2.18,amethyst,0.033
1.55,amethyst,0.033
1.58,amethyst,0.033
1.75,amethyst,0.033
2.16,amethyst,0.033
1.89,amethyst,0.033
1.56,amethyst,0.033
1.71,amethyst,0.033
1.32,amethyst,0.033
1.24,amethyst,0.033
1.64,amethyst,0.033
1.34,amethyst,0.033
2.41,amethyst,0.033
2.48,amethyst,0.033
2.26,amethyst,0.033
2.33,amethyst,0.033
2.16,amethyst,0.033
1.8,amethyst,0.033
1.29,amethyst,0.033
1.68,amethyst,0.033
1.85,amethyst,0.033
1.5,amethyst,0.033
1.18,amethyst,0.033
1.67,amethyst,0.033
1.81,amethyst,0.033
2.14,amethyst,0.033
1.52,amethyst,0.033
1.32,amethyst,0.033
1.92,amethyst,0.033
0.77,amethyst,0.033
2.14,amethyst,0.033
2,amethyst,0.033
1.62,amethyst,0.033
1.8,amethyst,0.033
0.87,amethyst,0.033
1.06,amethyst,0.033
1.15,amethyst,0.033
1.3,amethyst,0.033
1.1,amethyst,0.033
1.24,amethyst,0.033
1.05,amethyst,0.033
17.47,Topaz,0.033
43,Topaz,0.033
22.41,Topaz,0.033
22.96,Topaz,0.033
29.1,Topaz,0.033
20.64,Topaz,0.033
25.21,Topaz,0.033
18.81,Topaz,0.033
13.79,Topaz,0.033
12.76,Topaz,0.033
23.5,Topaz,0.033
19.86,Topaz,0.033
30.52,Topaz,0.033
29,Topaz,0.033
25.63,Emerald,0.045
35.57,Emerald,0.045
